ተመለሱ ; [383, 383]
ያለኝ ; [10430, 1849]
ባገኘኋት ; [1, 1]
ትሰጠኛለች ; [570, 570]
ከመጣ ; [1280, 1280]
አይቀር ; [594, 594, 1]
ጠላ ; [16, 16, 2]
እንዲህ ; [14266, 1497]
አጠገብ ; [66, 66]
የገዛሁት ; [79, 79]
ስጋው ; [97, 9, 3]
ሁለት ; [1001, 1001, 1001, 1001]
ሦስት ; [186, 186]
ከመቀመጫው ; [95]
ተነሳ ; [40, 40, 40, 40]
ይልቅ ; [503, 50]
ሥራዋ ; [2107, 899]
አሳያቸው ; [1045, 1045, 1045, 1045, 150, 3]
ብላ ; [10430, 10430, 123, 123]
የምጠላው ; [16, 16, 16, 16]
መጠጣቷን ; [7]
ምክር ; [196]
ሩጫ ; [197, 56, 56]
አልማዝን ; [47]
ሲሰማ ; [420, 420]
ደስታ ; [362]
በፍፁም ; [144, 35]
በመኪና ; [137, 1]
አይሄድም ; [1644, 1644]
እሳቱን ; [78, 50, 1]
ወጡ ; [805, 60]
ልብሴን ; [96]
ሽጬ ; [29, 2]
እዳዬን ; [90, 90, 1]
በልቶ ; [123, 1]
ድል ; [250, 250]
የተመታው ; [37, 37]
ይወጣሃል ; [805, 805]
ምንድን ; [240, 240]
ተማሪው ; [549, 80, 13, 13]
አለመኖር ; [890]
በጅምላ ; [27, 18]
ጦማቸውን ; [31, 1]
ዋሉ ; [474, 474, 1]
ከመኖሩ ; [890]
የተነሣ ; [307, 40]
አልቻሉም ; [5530, 5530]
አያታችን ; [48, 19]
እየገፉ ; [47, 1]
ለዛቸው ; [15, 9]
አልጠፋም ; [351, 351, 351, 351]
አስፈላላት ; [17, 17, 17]
ብድር ; [131, 16]
የሚፈልጉት ; [1437, 1437]
ተገዳደሉ ; [145, 145]
እንድታፈላ ; [17]
የምትሄድ ; [1644]
ከሆነ ; [20636, 20636]
ያለኝን ; [10430, 1849]
ካባቱ ; [448, 2, 2]
ማስረጃ ; [239]
ወንድም ; [558, 558, 360, 360]
ይባላል ; [10430, 123]
ከዚህም ; [14266, 1]
ዝናብ ; [196]
አሳ ; [123]
በባህር ; [201]
ይኖራል ; [380, 380]
የሄድነው ; [1644, 1644]
በቃኝ ; [86, 1]
አለና ; [10430, 10430, 10430, 1849, 1849, 1849, 1849]
በሩን ; [227, 9, 9]
መቀርቀር ; [1]
ረሳ ; [51, 51]
በሰላም ; [222, 222, 22, 22, 1]
መመለስ ; [271]
መልካም ; [11, 11, 2, 1]
ሳትቆልፍ ; [9]
ያለገብስ ; [5, 5]
አይጠጣም ; [72, 72, 72, 72]
የሚሰሩ ; [899, 899, 3]
ገበሬ ; [83, 1]
ብትመለስ ; [383]
ትጠፋለህ ; [351, 1]
ቀዳዳውን ; [11, 6]
መወተፊያ ; [1]
በዝናቡ ; [196, 1]
አንበሳውን ; [53, 3, 3, 3, 3]
እርሳሱን ; [1, 1, 1]
አላደርገውም ; [1, 1]
መበጠሷ ; [2]
ላየው ; [1045, 1045, 1045]
ዓለሚቱ ; [1035, 11]
ተወዳጅ ; [1, 1, 1]
አላት ; [10430, 10430, 1849, 1849]
እዚያ ; [2585, 1]
አልቀሩም ; [594, 594]
አትሂድ ; [1644]
ስንለው ; [10430, 10430]
ታሰረና ; [16, 16, 16, 3]
አረፈው ; [168, 168, 168]
ያለፈው ; [1633, 1633]
በአልማዝ ; [47]
